400.752	-82.66
402.56	-45.57
404.37	-39.37
406.179	0.00
407.987	8.94
409.796	6.10
411.602	47.50
413.409	14.70
415.215	32.07
417.021	32.04
418.826	57.48
420.632	72.78
422.436	44.78
424.24	46.36
426.043	79.55
427.847	50.59
429.65	8.35
431.452	75.54
433.254	57.22
435.055	84.11
436.856	68.64
438.655	71.15
440.455	58.4
442.255	37.85
444.054	52.39
445.851	25.9
447.65	67.62
449.447	64.42
451.245	31.83
453.041	83.18
454.838	40.56
456.633	50.68
458.428	49.01
460.224	59.06
462.018	92.48
463.812	57.24
465.605	115.72
467.398	82.01
469.191	141.97
470.983	129.38
472.775	114.66
474.565	109.54
476.356	125.66
478.147	125.98
479.935	161.05
481.725	117.97
483.513	84.40
485.302	124.33
487.089	115.81
488.878	95.99
490.665	59.24
492.451	42.15
494.236	57.94
496.021	56.30
497.808	41.06
499.593	64.16
501.377	31.88
503.159	4.04
504.943	30.53
506.726	28.99
508.509	-14.24
510.291	38.37
512.072	0.70
513.853	-21.94
515.633	39.69
517.414	9.45
519.193	-22.32
520.973	-1.77
522.751	-1.94
524.529	-11.57
526.306	-0.00
528.083	-19.71
529.862	-19.41
531.638	-9.68
533.414	-6.0
535.188	-18.18
536.963	-7.36
538.738	-17.95
540.513	-9.12
542.287	-50.59
544.059	10.7
545.832	9.80
547.604	-3.14
549.377	2.87
551.147	0.66
552.919	-1.96
554.689	22.06
556.458	33.93
558.228	-14.54
559.996	27.27
561.767	18.94
563.535	22.46
565.301	3.68
567.068	29.67
568.835	12.31
570.602	20.08
572.368	14.40
574.132	18.0
575.898	-7.23
577.663	-15.40
579.426	3.14
581.191	-20.02
582.953	10.21
584.715	-27.86
586.479	42.39
588.24	32.98
590.001	27.55
591.762	43.23
593.522	9.80
595.282	25.81
597.042	22.85
598.801	65.31
600.56	20.32
602.318	32.05
604.075	37.93
605.832	-18.83
607.588	41.93
609.345	30.78
611.1	-2.99
612.857	51.10
614.611	38.06
616.367	78.0
618.12	127.53
619.873	76.92
621.626	62.49
623.378	29.34
625.131	72.03
626.882	72.98
628.634	26.28
630.385	56.95
632.136	36.11
633.884	28.26
635.634	52.4
637.384	74.61
639.132	59.02
640.881	96.39
642.627	75.25
644.374	6.95
646.122	23.45
647.868	15.34
649.613	-2.18
651.358	6.72
653.103	6.35
654.847	54.88
656.591	17.09
658.335	-9.38
660.078	33.57
661.822	54.22
663.562	26.47
665.305	-21.6
667.047	26.04
668.786	11.76
670.528	36.66
672.267	16.42
674.006	46.84
675.746	23.22
677.484	-0.65
679.222	13.3
680.959	-13.73
682.696	34.45
684.433	-4.42
686.169	5.0
687.905	-20.25
689.641	1.11
691.376	-9.67
693.109	6.16
694.844	-9.57
696.577	-38.11
698.311	-13.88
700.042	-23.70
701.776	3.71
703.507	32.55
705.237	38.47
706.97	-19.59
708.7	31.22
710.43	-0.32
712.159	22.67
713.888	51.38
715.617	44.5
717.345	26.25
719.071	26.43
720.799	-5.20
722.527	4.31
724.252	15.99
725.978	22.35
727.703	4.52
729.429	-6.21
731.153	3.02
732.876	17.47
734.601	-23.53
736.324	-8.33
738.047	-20.14
739.769	13.00
741.491	11.05
