wavenumber,neuron-1 sub,neuron-2 sub,neuron-3 sub,neuron-4 sub,neuron-5 sub,neuron-6 sub
521,638.53,629.68,254.83,211.73,520.46,534.55
522,689.1,613.42,214.15,182.43,535.87,539.98
523,668.25,567.58,241.12,230.64,504.17,487.75
524,647.4,521.74,268.08,278.86,472.47,435.52
525,626.55,475.9,295.05,327.07,440.77,383.28
526,605.13,440.37,307.02,362.61,414.03,341.61
527,581.13,451.75,250.74,340.38,409.88,348.05
528,557.13,463.14,194.46,318.16,405.74,354.49
529,533.13,474.53,138.17,295.94,401.59,360.92
530,509.72,483.29,87.801,276.07,396.86,367.41
531,494.3,456.57,117.24,287.95,384.27,374.67
532,478.88,429.84,146.68,299.82,371.68,381.93
533,463.45,403.12,176.13,311.7,359.09,389.19
534,448.03,376.4,205.57,323.57,346.51,396.45
535,398.33,373.64,164.74,266.86,308.34,390.73
536,347.3,371.8,121.22,207.52,269.19,384.51
537,296.27,369.96,77.698,148.18,230.04,378.29
538,245.25,368.13,34.175,88.835,190.89,372.07
539,234.49,308.49,23.11,65.683,231.2,350.1
540,230.28,239.44,17.329,48.422,284.44,325.58
541,226.07,170.39,11.548,31.162,337.69,301.06
542,221.87,101.35,5.7666,13.901,390.93,276.53
543,205.18,120.63,-5.1069,34.999,397.72,258.01
544,184.6,167.51,-17.571,68.078,389.99,241.37
545,164.02,214.39,-30.035,101.16,382.26,224.72
546,143.44,261.26,-42.499,134.23,374.53,208.08
547,141.76,251.82,-38.023,118.49,340.56,198.81
548,149.48,214.39,-25.129,78.491,293.54,193.22
549,157.2,176.96,-12.234,38.487,246.53,187.63
550,164.92,139.53,0.66011,-1.5168,199.52,182.04
551,158.92,107.38,-3.6915,-1.7736,165.38,175.67
552,142.92,79.077,-20.635,26.989,140.65,168.73
553,126.92,50.775,-37.578,55.752,115.92,161.8
554,110.91,22.473,-54.521,84.514,91.183,154.86
555,97.58,21.572,-76.416,123.22,100.98,169.22
556,86.979,48.739,-103.38,172.1,146.15,205.4
