400.424	435.713
404.669	270.522
408.909	324.462
413.143	194.753
417.374	-1.50488
421.6	40.6738
425.822	310.311
430.039	106.529
434.253	9.13672
438.461	122.419
442.664	21.917
446.866	82.8193
451.06	98.2754
455.251	44.5459
459.437	140.862
463.619	95.499
467.798	-30.1436
471.97	240.64
476.139	250.936
480.303	256.655
484.464	164.684
488.619	129.777
492.771	173.587
496.916	197.312
501.057	-10.9395
505.196	280.83
509.329	62.2148
513.458	26.9912
517.583	319.968
521.704	34.4697
525.82	82.6768
529.931	16.8662
534.037	79.3457
538.14	13.6455
542.238	95.3877
546.332	173.065
550.422	219.696
554.506	149.893
558.587	46.709
562.663	106.162
566.734	133.536
570.802	91.2236
574.863	201.442
578.922	106.472
582.978	-21.0049
587.027	104.917
591.073	256.854
595.112	68.0273
599.148	32.1387
603.18	47.5771
607.209	152.354
611.231	29.2178
615.25	170.366
619.265	297.896
623.274	79.9229
627.279	227.034
631.281	-67.5693
635.278	64.7686
639.27	167.471
643.258	289.458
647.243	287.436
651.222	119.548
655.195	42.0508
659.166	119.041
663.131	218.3
667.093	262.728
671.051	110.188
675.001	123.296
678.949	177.186
682.894	136.455
686.835	50.3975
690.769	13.998
694.7	103.81
698.626	79.4326
702.548	57.7656
706.465	64.7236
710.378	78.8818
714.287	305.195
718.192	53.9805
722.09	204.606
725.986	118.84
729.879	-185.26
733.766	179.741
737.647	160.741
741.526	93.0537
745.4	49.9063
749.268	84.7236
753.133	121.885
756.994	155.366
760.851	244.035
764.701	198.372
768.547	370.044
772.389	148.263
776.23	90.6611
780.063	80.9668
783.893	88.5879
787.719	48.4951
791.541	55.5938
795.356	53.0039
799.168	-96.459
802.977	61.2441
806.781	86.3789
810.58	-0.282227
814.375	129.46
818.162	163.251
821.95	151.93
825.732	100.03
829.509	35.457
833.282	59.3711
837.05	80.0859
840.814	60.3994
844.575	139.21
848.33	152.168
852.079	116.141
855.825	37.499
859.568	75.0469
863.307	99.9785
867.04	-26.9443
870.769	63.7119
874.493	255.407
878.214	59.4736
881.93	55.4561
885.642	150.593
889.35	56.9912
893.053	103.146
896.751	96.7217
900.445	55.75
904.134	-44.4902
907.821	-47.8418
911.503	116.674
912.036	139.649
915.893	131.24
919.749	249.333
923.602	294.167
927.45	138.622
931.291	278.024
935.131	266.286
938.965	217.815
942.797	164.758
946.624	-41.167
950.447	220.438
954.267	158.732
958.081	118.031
961.891	190.836
965.697	28.6416
969.498	-19.3457
973.298	100.286
977.092	262.341
980.881	314.675
984.668	275.943
988.45	322.995
992.226	303.644
996.001	611.209
999.772	1227.14
1003.54	1085.52
